"ROBOMATICS (JOHOR) SDN BHD"
"Date :  03/05/2026"
"Time :  18:00:51"
"12, Jalan Kempas 5/5"
"Kawasan Perindustrian Kempas"
"81200 Johor Bahru JOHOR MALAYSIA"
"Tel: 07-2380340   Fax: 07-2380342"
"Customer Listing By Billing Code Report"
"Criteria: From Customer [] To Customer [].   From Category  [] To Category [].   From Group [] To Group []."
,"From Salesman [] To Salesman [].    From Area [] To Area [].   From Currency [] To Currency []."
,"From Date Created [] To Date Created [].   From Date Modified [] To Date Modified []."
,"Include Suspended Customers (All)."
,,,,,,,,,,,,,,"Page :  1"
"______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
"No.","Billing Code","Acct No","Name","Secondary Name","Category","Group","Salesman","Tax File Number","Ref 1","Ref 2","Ref 3","Ref 4","Ref 5","Ref 6"
"______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
"1",,"000000","CASH SALES","OUTDOOR","TRADE",,"OUTDOOR"
"2",,"000002","CASH SALES - PROJECT (MYR)",,"TRADE",,"PROJECT"
"3",,"000009","CASH SALES - MYR","CASH SALES - MYR","TRADE",,"INDOOR"
"4",,"000019","CASH SALES","ANNIE","TRADE",,"ZZ*VOID37 *"
"5",,"000030","** VOID ** (CASH SALES - DANIEL)",,"TRADE",,"ZZ*VOID32 *"
"6",,"000031","** VOID ** (CASH SALES - KUA)",,"TRADE",,"ZZ*VOID40 *"
"7",,"000032","** VOID ** (CASH SALES - NG)",,"TRADE",,"ZZ*VOID35 *"
"8",,"000033","** VOID ** (CASH SALES - FIZAH)","FIZAH","TRADE",,"ZZ*VOID33 *"
"9",,"000034","MODENA MACHINERY (INTERNATIONAL) LTD",,"TRADE",,"PROJECT"
"10",,"000035","SYS-MAC AUTOMATION ENGINEERING PTE LTD",,"TRADE","ELECTRICAL","PROJECT"
"11",,"000036","LAZADA",,"TRADE","TRADING","LAZADA"
"12",,"000037","SHOPEE",,"TRADE","TRADING","SHOPEE"
"13",,"000038","CASH SALES - SGD",,"TRADE",,"INDOOR"
"14",,"000039","CASH SALES - USD",,"TRADE",,"INDOOR"
"15",,"000040","CASH SALES - PROJECT (USD)",,"TRADE",,"PROJECT"
"16",,"A00001","AE AUTOMOTION (M) SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"17",,"A00002","ASMECH HANDLING EQUIPMENT (M) SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"18",,"A00003","AE DATALOGIC (M) SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"19",,"A00004","AUTOVEYOR (M) SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"20",,"A00006","**CLOSED** (AIK JOO CAN FACTORY SDN BHD)",,"TRADE","METAL","OUTDOOR"
"21",,"A00007","ALFAGOMMA-MARDEC SDN BHD",,"TRADE","RUBBER","OUTDOOR"
"22",,"A00009","ADAMTECH SDN BHD",,"TRADE","TRADING","OUTDOOR"
"23",,"A00011","ALPHA INDUSTRIES BHD",,"TRADE","CABLE","OUTDOOR"
"24",,"A00012","ALTUM PRECISION SDN BHD",,"TRADE","ELECTRICAL","OUTDOOR"
"25",,"A00013","AMSTEEL MILLS SDN BHD",,"TRADE","METAL","OUTDOOR"
"26",,"A00014","ALLGREEN TIMBER PRODUCTS SDN BHD",,"TRADE","WOOD","OFFICE"
"27",,"A00015","ASMECH TEKNOLOGI (M) SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"28",,"A00016","ANSA TECHNOLOGY SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"29",,"A00018","ASSOCIATED CONCRETE PRODUCTS (M) SDN BHD",,"TRADE","CEMENT","OUTDOOR"
"30",,"A00019","ANTARA STEEL MILLS SDN BHD",,"TRADE","METAL","OUTDOOR"
"31",,"A00020","APEX UNIPARTS SDN BHD",,"TRADE","TRADING","OUTDOOR"
"32",,"A00021","WAVEPLUS SDN BHD","ATA INDUSTRIAL (M) SDN BHD","TRADE","CM","OUTDOOR"
"33",,"A00022","ASRATEC SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"34",,"A00023","APOLLO FOOD INDUSTRIES SDN BHD",,"TRADE","FOOD","OUTDOOR"
"35",,"A00025","ALADDIN PACIFIC (MALAYSIA) SDN BHD",,"TRADE","FOOD","OUTDOOR"
"36",,"A00026","ALLIED PRECISION MANUFACTURING (M) SDN BHD",,"TRADE","PLASTIC","OUTDOOR"
"37",,"A00027","AWAN TIMUR KLUANG SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"38",,"A00028","AIR SUPPLY PROJECT ENGINEERING",,"TRADE","ENGINEERING","OFFICE"
"39",,"A00029","ALLIED PRECISION PLASTIC (SAIGON) CO LTD",,"TRADE","PLASTIC","OFFICE"
"40",,"A00030","ATA PRECISION ENGINEERING SDN BHD",,"TRADE","PLASTIC","OUTDOOR"
"41",,"A00031","ACPARTS ENGINEERING SDN BHD",,"TRADE","ENGINEERING","OFFICE"
"42",,"A00032","APPLIED CONTROL TECHNOLOGIES SDN BHD",,"TRADE","ELECTRICAL","OUTDOOR"
"43",,"A00033","ACOMECH ENGINEERING SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"44",,"A00034","ASIA-MECH ENGINEERING PTE LTD",,"TRADE","TRADING","OFFICE"
"45",,"A00035","ASJ COMPONENTS (M) SDN BHD",,"TRADE","ELECTRICAL","OUTDOOR"
"46",,"A00036","ADVAL TECH (MALAYSIA) SDN BHD",,"TRADE","PLASTIC","OUTDOOR"
"47",,"A00037","ALLETRONIC SDN BHD",,"TRADE","ENGINEERING","OUTDOOR"
"48",,"A00038","ANSELL N.P. SDN BHD",,"TRADE","RUBBER","PROJECT"
"49",,"A00039","ARMSTRONG ELECTRONIC SDN BHD",,"TRADE","RUBBER","OUTDOOR"
"50",,"A00040","A.SCHULMAN THERMOPLASTIC COMPOUNDS MALAYSIA SDN BHD",,"TRADE","PLASTIC","OUTDOOR"
"51",,"A00041","ASI INSTRUMENTATION (JB) SDN BHD",,"TRADE","ENGINEERING","OFFICE"
"52",,"A00042","ANGENET SDN BHD",,"TRADE","FOOD","OUTDOOR"
"53",,"A00043","ASIAN ELECTRONIC TECHNOLOGY PTE LTD",,"TRADE","ELECTRICAL","OUTDOOR"
"54",,"A00044","AIMFLEX SYSTEMS SDN BHD",,"TRADE","ENGINEERING","PROJECT"
"55",,"B00003","BP PLASTICS SDN BHD",,"TRADE","PLASTIC","OUTDOOR"
